gxa_property_name	occurrences_in_contrasts	contrast_property_types	example_values	example_urls	example_accessions	current_handling_or_gap	candidate_inference_field
tumor mass	2	SAMPLE:2	174.5 gram, 7.6 gram, 116 gram, 4.95 gram, 10.5 gram, 14.9 gram, 65 gram, 57 gram, 12.1 gram, 25.2 gram, 17.2 gram, 11.1 gram, 31 gram, 22.4 gram, 16 gram, 12.5 gram, 50 gram, 95 gram, 8.5 gram, 8.2 gram, 45 gram, 23.6 gram vs not applicable; 2440 gram, 2540 gram, 2890 gram, 400 gram, 450 gram, 60 gram, 520 gram, 212 gram, 2300 gram, not available, 35.1 gram, 460 gram, 110 gram, 1805 gram, 266 gram, 12 gram, 360 gram, 660 gram, 397 gram, 2310 gram, 1690.4 gram, 900 gram, 1305 gram, 253 gram, 180 gram vs not applicable	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results	E-GEOD-10927; E-GEOD-10927	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
tumor size	2	SAMPLE:2	4.5 centimeter, 3.5 centimeter, 1.3 centimeter, 1.5 centimeter, 5.5 centimeter, 4.2 centimeter, 5 centimeter, 7 centimeter, 2.2 centimeter, 9 centimeter, 1.1 centimeter, not available, 2.7 centimeter, 3.3 centimeter, 7.2 centimeter, 6.2 centimeter, 2.5 centimeter vs not applicable; 8.7 centimeter, 13 centimeter, 5.5 centimeter, 5 centimeter, 9.2 centimeter, 3.2 centimeter, 8.5 centimeter, 15 centimeter, 17 centimeter, 19 centimeter, 12 centimeter, 9.8 centimeter, 9 centimeter, 10.5 centimeter, 15.5 centimeter, not available, 18.5 centimeter, 16 centimeter, 26 centimeter, 10 centimeter, 16.5 centimeter, 18 centimeter, 6.2 centimeter, 22 centimeter vs not applicable	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results	E-GEOD-10927; E-GEOD-10927	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
weiss grade	2	SAMPLE:2	not available vs not available; low, high vs not available	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10927/Results	E-GEOD-10927; E-GEOD-10927	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
alanine amino transaminase	1	SAMPLE:1	NON, <=40, >40 vs NON	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-83148/Results	E-GEOD-83148	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
aspartate amino transaminase	1	SAMPLE:1	NON, >35, <=35 vs NON	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-83148/Results	E-GEOD-83148	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
biosourcetype	1	SAMPLE:1	fresh_sample vs fresh_sample	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-698/Results	E-MTAB-698	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
gender	1	SAMPLE:1	female, male vs female, male	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-20292/Results	E-GEOD-20292	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
geographical location	1	SAMPLE:1	United Kingdom, Peru vs United Kingdom, Peru	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-8163/Results	E-MTAB-8163	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
growth protocol	1	SAMPLE:1	without leukemia inhibitory factor vs with leukemia inhibitory factor	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-65697/Results	E-GEOD-65697	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
hepatitis b virus-dna	1	SAMPLE:1	<=10E6, NON, >10E6 vs NON	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-83148/Results	E-GEOD-83148	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
host organism	1	SAMPLE:1	Mus musculus vs Mus musculus	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-43306/Results	E-GEOD-43306	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
organismpart	1	SAMPLE:1	vomeronasal organ vs vomeronasal organ	https://www.ebi.ac.uk/gxa/experiments/E-MTAB-698/Results	E-MTAB-698	Variant spelling normalized to organism part for crawler matching.	sample.anatomicalStructure.name
response	1	SAMPLE:1	responder vs responder	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-66698/Results	E-GEOD-66698	SAMPLE values are structured as sample.additionalProperty; FACTOR values are preserved in variableMeasured/measurementDenominator context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
sample with known storage state	1	SAMPLE:1	frozen specimen vs frozen specimen	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-14951/Results	E-GEOD-14951	Variant label normalized to specimen with known storage state for crawler matching.	sample.sampleState
study	1	FACTOR:1	E-GEOD-14951 vs E-GEOD-14951	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-14951/Results	E-GEOD-14951	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
temperature unit	1	SAMPLE:1	degree Celsius vs degree Celsius	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-10/Results	E-ENAD-10	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
time unit	1	SAMPLE:1	year vs year	https://www.ebi.ac.uk/gxa/experiments/E-MEXP-1425/Results	E-MEXP-1425	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
viral titer in serum	1	SAMPLE:1	383300000, 50440000, 39450000, 214200000, 308500000, 2751000000 vs 49230000, 1017000000, 50440000, 308500000, 383300000, 39450000, 214200000, 63400000, 2751000000, 1120000000	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-66698/Results	E-GEOD-66698	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
